,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
10,HTC,21.20,14.91,1.58,4223.42,10.06,13.38,12.82,0.72,0.39,0.70,0.51,0.0,,0.55,,0.73,,0.62,,90.79,135.50,136.20,61.59,0.58,0.51,1.21,1.42,11.026671467076648,0.7293864717623929,32.35325754409724,4.978157958551081,-12.46,138.99,17.51
11,ICHI,7.90,32.59,1.70,10270.00,14.51,4.66,4.59,1.31,1.12,0.62,1.95,0.75,,0.5,,0.0,,0.0,,151.79,110.01,33.83,109.85,0.89,0.63,0.28,0.24,5.337152400778493,0.42438207646086556,23.786507628118468,5.509500737013095,-24.66,-54.66,-14.49
12,KBS,4.34,N/A,0.83,2604.00,20.45,5.24,5.89,0.50,0.82,N/A,N/A,0.05,,0.1,,0.05,,0.0,,301.84,81.89,126.44,232.57,0.56,-0.08,-0.59,-0.63,-11.253600411134084,2.229008846913117,1.438452420075673,-4.608976147471573,N/A,N/A,N/A
13,KSL,3.12,8.30,0.78,13759.93,10.54,4.01,4.00,0.75,1.79,0.13,0.22,0.0,,0.05556,10.00 : 1.00,0.1,,0.05,,,287.48,82.31,153.00,,0.20,0.32,0.45,11.653620612666746,1.4106801193655067,15.63896347454291,10.294547139715668,,74.90,38.16
14,KTIS,6.20,37.08,2.95,23932.00,14.81,2.10,2.23,0.27,0.67,0.90,0.64,0.0,,0.1,,0.1,,0.0,,828.07,346.73,339.43,329.66,0.37,0.19,-0.13,0.17,8.102218824802337,1.1962278804016198,18.566372832765747,3.5480071214085833,-46.55,N/A,N/A
15,LST,5.25,10.65,1.27,4305.00,8.71,4.14,4.12,1.47,2.27,0.37,0.19,0.2,,0.15,,0.1,,0.0,,229.80,479.94,420.39,414.14,0.46,0.38,0.40,0.49,12.382433374443671,0.6808180224248942,15.201850515662837,4.677886680102284,-18.19,6.15,22.24
16,M,80.25,30.48,5.34,73900.47,19.78,15.02,14.51,0.97,1.01,0.87,0.79,1.9,,2.0,,2.2,,0.0,,372.58,287.23,322.52,409.62,2.25,2.04,2.30,2.65,17.825932418261207,0.1774643059621192,67.81149792009118,14.733796985491324,-9.13,13.13,15.48
17,MALEE,20.20,19.52,3.46,5656.00,15.58,5.76,5.65,0.72,1.28,0.54,0.71,1.11,,1.45,,1.45,,0.0,,50.47,75.19,92.27,100.47,2.22,2.37,3.79,1.02,17.925718554041413,1.7238929597389139,28.731683898058684,4.769252864925166,7.75,60.24,-46.12
18,MINT,40.25,34.33,3.93,185911.30,20.46,10.25,8.79,1.16,1.35,0.34,0.30,0.0,,0.35,,0.35,,0.4,,5372.36,4002.80,4398.76,5336.16,1.10,1.60,1.50,1.22,12.782673309861215,1.4456933958945324,58.82543632827173,9.234415240383148,59.94,-6.39,-17.82
19,OISHI,123.00,15.62,3.92,23062.50,9.94,31.35,29.75,0.61,0.78,0.43,0.44,0.55,,2.55,,2.5,,2.3,,,595.20,593.64,1446.51,,3.80,4.73,7.74,28.531755234886937,0.7378802110969297,38.10355248136458,10.614026814183426,,49.78,36.09
