,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
10,CKP,3.84,178.25,1.59,28300.80,19.33,2.41,2.39,1.23,1.34,1.04,N/A,0.0,,0.0223,,0.06,,0.0225,,1830.13,2140.58,2279.59,2197.48,0.43,0.06,0.01,0.02,0.8946767102021151,1.6791971787895368,37.6551160681057,2.2808537291391024,-12.70,-86.63,188.39
11,DEMCO,5.05,56.24,1.22,3688.24,25.83,4.14,4.26,1.05,1.18,N/A,N/A,0.26,,0.0,,0.0,,0.0,,628.00,639.89,745.53,500.47,0.52,-0.70,-0.22,0.09,2.1909269768948896,1.3678119516329976,11.28866119107642,1.4124634447827793,N/A,N/A,N/A
12,EA,36.00,35.18,9.15,134280.00,24.61,3.93,3.69,2.29,1.63,0.20,0.15,0.0,,0.0,,0.0,,0.0,,1267.88,2912.25,2672.74,4505.65,0.43,0.72,0.87,1.02,29.307455937476607,2.030788949794104,47.79084107113249,32.53223865639029,67.05,21.01,17.41
13,EARTH,1.46,7.47,0.48,5163.44,14.99,3.02,3.02,0.69,1.05,0.77,0.77,0.05,,0.15,,0.1,,0.0,,,527.80,1879.59,1861.10,,0.35,0.34,0.25,7.993721641724677,2.065866360301731,12.386398481004706,4.712320889649864,,-1.45,-15.09
14,EASTW,11.50,15.67,1.87,19132.84,12.05,6.16,6.01,0.36,0.03,0.64,0.64,0.22,,0.45,,0.5,,0.24,,112.86,311.22,185.53,37.48,0.80,0.95,0.78,0.73,12.160531200458866,0.8838327527493126,48.36282857169385,28.030381280944216,18.79,-18.00,-6.04
15,EGATIF,10.80,-,1.06,22523.40,-,10.23,10.85,-0.01,-0.02,N/A,N/A,0.11,,0.515,,0.72,,0.19,,,1.48,0.31,1.10,,,,,,,,,,,
16,EGCO,223.00,9.93,1.36,117401.70,14.89,163.81,163.18,1.04,0.60,0.31,0.32,3.0,,6.5,,6.75,,3.5,,6859.02,8750.56,4487.43,6786.80,14.56,8.20,15.81,22.45,14.051723456316296,1.315842618937542,28.93641006917192,31.052760327399433,-43.67,92.65,42.03
17,ESSO,17.90,8.50,2.20,61949.36,8.15,8.14,7.37,0.94,1.55,0.47,N/A,0.0,,0.0,,0.0,,0.0,,409.12,264.48,557.03,448.17,-2.99,0.49,1.92,2.11,29.79420160213509,1.0945001167710982,8.147067663232137,4.066536424322571,N/A,291.05,9.61
18,GLOW,86.25,13.90,2.55,126172.11,9.46,33.78,32.47,0.64,0.81,0.93,1.01,1.388,,5.82,,5.823,,0.0,,4364.18,8702.71,7251.99,8736.57,6.25,5.71,6.12,6.20,18.448685854205184,0.9717181360343714,25.025108728296825,17.275243579230917,-8.57,7.15,1.37
19,GPSC,75.50,35.63,2.93,113121.71,24.59,25.73,25.26,1.90,1.74,0.59,0.60,0.35,,1.05,,1.15,,0.8,,3420.95,2864.88,5421.67,3964.78,1.41,1.40,1.80,2.12,8.38762119239138,0.5083290787736907,17.778092420654758,14.91116000217943,N/A,41.65,17.58
20,GULF,67.50,41.72,4.17,143997.75,33.60,16.20,N/A,2.04,-,0.25,-,0.0,,0.0,,0.0,,0.0,,,,2765.57,20222.17,,,1.59,3.18,18.71404958050332,1.7735867779976227,24.461663647814927,36.23941352003477,,,N/A
21,GUNKUL,2.90,33.86,2.34,21514.00,22.87,1.24,1.24,1.28,0.99,0.53,0.43,0.0,,0.0625,5.00 : 1.00,0.0,,0.0,,1508.78,3570.79,2468.24,1048.23,0.62,0.59,0.08,0.09,6.939081534972541,2.235238007289873,29.568466314973353,12.398356928901073,25.65,-21.52,18.16
22,IEC,0.02,-,-,-,-,0.02,0.02,-,-,-,-,0.0,,0.0,,0.0,,0.0,,,377.90,479.09,80.91,,0.00,0.00,-,0.004785547646108751,0.3483914167367405,-2.7335514358415054,0.023034271705687823,,-84.82,-98.94
23,IFEC,3.10,-,-,-,-,1.63,1.63,-,0.21,-,N/A,0.01,20.00 : 1.00,0.12,,0.0,,0.0,,640.72,3156.93,1905.26,300.17,0.06,0.07,0.19,-0.95,-43.89486104743308,2.895792527210969,8.894843595898697,-98.00158999859705,159.57,356.95,N/A
