,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
44,SAMCO,2.40,27.44,0.67,1540.32,17.17,3.60,3.51,0.45,0.41,0.57,N/A,0.0,,0.12,,0.01111,11.25 : 1.00,0.05,,20.23,22.87,27.11,45.23,0.17,0.21,0.17,0.09,2.46021972821014,0.6442672001316343,10.27317624721331,4.632089638442879,21.78,-15.48,-45.41
45,SC,3.80,12.62,1.07,15882.57,21.37,3.57,3.43,0.67,0.67,0.40,0.82,0.08,8.00 : 1.00,0.18,,0.19,,0.0,,648.37,910.44,630.01,1062.51,0.42,0.45,0.47,0.30,8.575153530459618,1.581331584548196,35.80973463055584,10.090920753022674,21.64,3.85,-36.05
46,SENA,4.28,7.00,1.10,5198.70,9.26,3.89,3.53,0.70,0.58,0.13,0.57,0.0506,,0.24491,,0.06451,16.00 : 1.00,0.0,,387.50,250.37,270.55,847.31,0.60,0.29,0.67,0.63,16.95674316525568,1.2602097831056027,39.453018281163715,14.220568294121705,-41.58,200.35,-2.63
47,SF,9.05,8.73,1.56,16078.30,11.20,5.79,5.22,0.87,0.91,0.24,0.35,0.0,,0.15,,0.2,,0.25,,27.58,33.50,25.20,34.86,0.47,0.79,0.54,1.04,19.288339779018546,0.5924095167748707,59.72246760895171,64.09756505149112,101.05,-31.53,90.99
48,SIRI,1.68,8.84,0.82,24969.39,16.79,2.05,1.99,1.21,1.51,0.62,0.47,0.0,,0.16,,0.13,,0.07,,3051.29,2671.77,3540.86,2977.57,0.33,0.25,0.24,0.20,9.64020922596189,1.628198337051574,30.99704258668701,8.882825235977219,3.32,-3.58,-16.44
49,SPALI,23.20,7.65,1.61,44485.59,9.52,16.13,15.20,0.59,0.53,N/A,0.34,0.5,,1.0,,0.55,,0.0,,661.89,797.90,569.07,513.52,2.61,2.53,2.85,3.39,22.95986995312861,0.9869627932062027,38.273660094956526,22.536890657081205,-2.89,12.37,18.94
50,TFD,1.67,N/A,1.38,3585.55,113.90,1.21,1.18,0.63,0.65,N/A,N/A,0.0,,0.0,,0.0,,0.0,,157.88,304.16,265.41,602.29,-0.15,-0.25,-0.25,-0.27,-20.260003957704185,2.983932814137281,25.528568932378125,-46.22511876251423,N/A,N/A,N/A
51,TICON,17.70,67.63,1.30,32464.32,29.65,13.59,13.46,0.48,0.88,0.38,0.58,0.0,,0.5,,0.08,,0.1,,202.08,1133.89,284.27,1518.17,0.76,0.70,0.25,0.27,2.6418884705985954,0.6365042691872718,65.82365652679823,19.912800345148014,1.05,-64.27,74.53
52,U,0.03,N/A,1.59,16841.15,181.49,0.03,0.03,-2.38,-3.86,N/A,N/A,0.0,,0.0,,0.0,,0.0,,999.31,2082.15,310.47,1383.01,-0.00,-0.00,-0.00,-0.00,-5.7451067719161575,1.259575371189419,63.61193140928605,-23.553216321766847,N/A,N/A,N/A
53,UV,9.00,14.57,1.73,17207.34,13.74,5.19,5.01,1.98,2.43,0.44,0.46,0.0,,0.11,,0.2,,0.22,,,322.04,687.45,1641.80,,0.33,0.56,0.44,8.965105760532749,2.440214576860112,29.96104241957484,6.070843889586002,,70.49,3.08
54,WHA,3.96,17.37,2.25,56732.15,16.66,1.76,1.47,1.47,1.25,0.61,0.56,0.0,,0.0,,0.2024,,0.0,,370.94,2554.72,2635.40,1919.71,1.02,0.16,0.20,0.23,13.99704712325914,1.7860098329367333,47.42736172923337,26.321035684240723,99.64,48.34,12.71
55,WIN,0.59,N/A,1.09,331.07,59.13,0.54,0.55,0.59,0.42,N/A,N/A,0.0,,0.0,,0.0,,0.0,,3.71,4.82,3.79,3.76,-0.01,-0.01,0.02,-0.01,-2.7516933497536944,0.8965528638001123,46.94686756542426,-7.486910994764398,N/A,N/A,N/A
